Word,Count,Senses,Definition,Example 1,Example 2,Example 3,Example 4
known,5,,apprehended with certainty,a known quantity,the limits of the known world,a musician known throughout the world,a known criminal
lamenting,9,,vocally expressing grief or sorrow or resembling such expression,lamenting sinners,wailing mourners,the wailing wind,wailful bagpipes
large,5,,above average in size or number or quantity or magnitude or extent,a large city,set out for the big city,a large sum,a big (or large) barn
larval,6,,immature of its kind,especially being or characteristic of immature insects in the newly hatched wormlike feeding stage,larval societies,larval crayfishes,the larval stage
last,4,,occurring at the time of death,his last words,the last rites,,
last,4,,coming after all others in time or space or degree or being the only one remaining,the last time I saw Paris,the last day of the month,had the last word,waited until the last minute
late,4,,being or occurring at an advanced period of time or after a usual or expected time,late evening,late 18th century,a late movie,took a late flight
late(a),7,,of the immediate past or just previous to the present time,a late development,their late quarrel,his recent trip to Africa,in recent months
lavish,6,,very generous,distributed gifts with a lavish hand,the critics were lavish in their praise,a munificent gift,his father gave him a half-dollar and his mother a quarter and he thought them munificent
leading(p),10,prima(p),indicating the most important performer or role,the leading man,prima ballerina,prima donna,a star figure skater
leafed,6,,having leaves or leaves as specified,often used in combination,a fully leafed tree,broad-leafed,four-leaved clover
least(a),8,,,the superlative of `little' that can be used with mass nouns and is usually preceded by `the',a quantifier meaning smallest in amount or extent or degree,didn't care the least bit,he has the least talent of anyone
leavened,8,,made light by aerating as with yeast or baking powder,often used as a combining form,leavened bread,well-leavened,yeast-leavened breads
leftover,8,,not used up,leftover meatloaf,she had a little money left over so she went to a movie,some odd dollars left,saved the remaining sandwiches for supper
lenient,7,,not strict,an easy teacher,easy standards,lenient rules,an easy penalty
less(a),7,,,(comparative of `little' usually used with mass nouns) a quantifier meaning not as great in amount or degree,of less importance,less time to spend with the family,a shower uses less water
lewd,4,,suggestive of or tending to moral looseness,lewd pictures,an indecent gesture,obscene telephone calls,salacious limericks
light,5,,having relatively few calories,diet cola,light (or lite) beer,lite (or light) mayonnaise,a low-cal diet
light,5,,not great in degree or quantity or number,a light sentence,a light accent,casualties were light,light snow was falling
light,5,,moving easily and quickly,nimble,the dancer was light and graceful,a lightsome buoyant step,walked with a light tripping step
light,5,,of the military or industry,using (or being) relatively small or light arms or equipment,light infantry,light cavalry,light industry
like,4,,resembling or similar,having the same or some of the same characteristics,often used in combination,suits of like design,a limited circle of like minds
like,4,same,equal in amount or value,like amounts,equivalent amounts,the same amount,gave one six blows and the other a like number
likely,6,,has a good chance of being the case or of coming about,these services are likely to be available to us all before long,she is likely to forget,a likely place for a restaurant,the broken limb is likely to fall
lilting,7,,characterized by a buoyant rhythm,an easy lilting stride,the flute broke into a light lilting air,a swinging pace,a graceful swingy walk
limpid,6,,,(of language) transparently clear,easily understandable,writes in a limpid style,lucid directions
lineal,6,,in a straight unbroken line of descent from parent to child,lineal ancestors,lineal heirs,a direct descendant of the king,direct heredity
little,6,,small in a way that arouses feelings (of tenderness or its opposite depending on the context),a nice little job,bless your little heart,my dear little mother,a sweet little deal
little(a),9,slight,(quantifier used with mass nouns) small in quantity or degree,not much or almost none or (with `a') at least some,little rain fell in May,gave it little thought,little time is left
live,4,,exerting force or containing energy,live coals,tossed a live cigarette out the window,got a shock from a live wire,live ore is unmined ore
lively,6,,full of spirit,full of life,a dynamic full of life woman,a vital and charismatic leader,this whole lively world
living,6,,,,u 07089193 n 0000 | (informal) absolute,she is a living doll,scared the living daylights out of them
local,5,,of or belonging to or characteristic of a particular locality or neighborhood,local customs,local schools,the local citizens,a local point of view
located,7,,situated in a particular spot or position,valuable centrally located urban land,strategically placed artillery,a house set on a hilltop,nicely situated on a quiet riverbank
lone(a),7,,being the only one,single and isolated from others,the lone doctor in the entire county,a lonesome pine,an only child
lone(a),7,,characterized by or preferring solitude,a lone wolf,a lonely existence,a man of a solitary disposition,a solitary walk
lonely,6,,marked by dejection from being alone,felt sad and lonely,the loneliest night of the week,lonesome when her husband is away,spent a lonesome hour in the bar
long,4,,having or being more than normal or necessaryin long supply,,,,
long,4,,primarily spatial sense,of relatively great or greater than average spatial extension or extension as specified,a long road,a long distance,contained many long words
long,4,,primarily temporal sense,being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,a long life,a long boring speech,a long time
long-winded,11,,using or containing too many words,long-winded (or windy) speakers,verbose and ineffective instructional methods,newspapers of the day printed long wordy editorials,proceedings were delayed by wordy disputes
looking,7,,appearing to be as specified,usually used as combining forms,left their clothes dirty looking,a most disagreeable looking character,angry-looking
loose,5,,not tense or taut,the old man's skin hung loose and grey,slack and wrinkled skin,slack sails,a slack rope
lost,4,,no longer in your possession or control,unable to be found or recovered,a lost child,lost friends,his lost book
lost,4,,spiritually or physically doomed or destroyed,lost souls,a lost generation,a lost ship,the lost platoon
